NAME,AMP,CEP,CHL,CIP,SMX,TMP,SXT,TCY,AZM,CST,MEM
Iso41-21_12_2015,0,0,0,1,0,0,0,0,0,0,0
Iso35-11_11_2015,0,0,0,1,0,0,0,0,0,0,0
Iso51-22_03_2016,0,0,0,1,0,0,0,0,0,0,0
Iso48-11_03_2016,0,0,0,1,0,0,0,0,0,0,0
Iso34-30_10_2015,0,0,0,1,0,0,0,0,0,0,0
Iso69-01_08_2016,0,0,0,1,0,0,0,0,0,0,0
Iso60-26_05_2016,0,0,0,1,0,0,0,0,0,0,0
Iso43-31_12_2015,0,0,0,1,0,0,0,0,0,0,0
Iso70-04_08_2016,0,0,0,1,0,0,0,0,0,0,0
Iso42-22_12_2015,0,0,0,1,0,0,0,0,0,0,0
Iso63-06_07_2016,0,0,0,1,0,0,0,0,0,0,0
Iso82-28_02_2016,0,0,0,1,0,0,0,0,0,0,0
Iso44-18_01_2016,0,0,0,1,0,0,0,0,0,0,0
Iso58-28_01_2016,0,0,0,1,0,0,0,0,0,0,0
Iso23-11_06_2016,0,0,0,1,0,0,0,0,0,0,0
Iso55-19_05_2016,0,0,0,1,0,0,0,0,0,0,0
Iso21-29_05_2016,0,0,0,1,0,0,0,0,0,0,0
Iso62-10_06_2016,0,0,0,1,0,0,0,0,0,0,0
Iso47-02_03_2016,0,0,0,1,0,0,0,0,0,0,0
Iso27-12_07_2016,0,0,0,1,0,0,0,0,0,0,0
Iso67-28_07_2016,0,0,0,1,0,0,0,0,0,0,0
Iso32-23_10_2015,0,0,0,1,0,0,0,0,0,0,0
Iso25-10_07_2016,0,0,0,1,0,0,0,0,0,0,0
Iso66-22_07_2016,0,0,0,1,0,0,0,0,0,0,0
Iso64-14_07_2016,0,0,0,1,0,0,0,0,0,0,0
Iso33-26_10_2015,0,0,0,1,0,0,0,0,0,0,0
Iso45-27_01_2016,0,0,0,1,0,0,0,0,0,0,0
Iso65-15_07_2016,0,0,0,1,0,0,0,0,0,0,0
Iso37-23_11_2015,0,0,0,1,0,0,0,0,0,0,0
Iso39-15_12_2015,0,0,0,1,0,0,0,0,0,0,0
Iso24-30_06_2016,0,0,0,1,0,0,0,0,0,0,0
Iso53-10_05_2016,0,0,0,1,0,0,0,0,0,0,0
Iso52-02_05_2016,0,0,0,1,0,0,0,0,0,0,0
Iso54-12_05_2016,0,0,0,1,0,0,0,0,0,0,0
Iso72-09_09_2016,0,0,0,1,0,0,0,0,0,0,0
Iso61-03_06_2016,0,0,0,1,0,0,0,0,0,0,0
Iso59-25_05_2016,0,0,0,1,0,0,0,0,0,0,0
Iso22-04_06_2016,0,0,0,1,0,0,0,0,0,0,0
Iso36-16_11_2015,0,0,0,1,0,0,0,0,0,0,0